Tenure,Gender,Geography,salary_quantiles,balance_quantiles,age_quantiles,CreditScore,NumOfProducts,HasCrCard,Exited
2,Female,France,second,third,fourth,495,1,1,0
3,Female,France,third,seventh,fifth,646,2,0,1
3,Male,France,seventh,first,third,566,1,0,0
7,Female,France,third,seventh,first,771,1,1,0
3,Male,France,second,first,seventh,719,2,1,0
3,Female,France,first,fourth,fifth,716,1,1,1
1,Female,France,fourth,fifth,first,583,1,1,0
3,Female,France,second,sixth,second,616,1,1,1
2,Female,France,sixth,fourth,sixth,760,1,0,1
1,Male,France,seventh,fourth,third,679,1,1,0
7,Female,France,second,first,third,669,1,1,1
3,Female,France,second,first,fourth,606,2,1,1
4,Male,France,second,sixth,first,676,1,1,0
0,Female,France,second,first,fourth,653,2,1,0
4,Female,France,first,seventh,fifth,693,1,1,0
0,Male,France,third,fourth,second,564,1,1,0
3,Male,France,seventh,fourth,second,667,1,1,0
3,Female,France,fourth,fourth,fourth,637,1,0,0
3,Male,France,fifth,sixth,second,617,1,1,0
3,Female,France,second,first,seventh,620,2,1,0
1,Female,France,fifth,first,fourth,730,2,1,0
4,Female,France,seventh,first,sixth,629,2,1,0
9,Female,France,second,sixth,sixth,619,1,1,0
5,Male,France,second,first,fourth,741,1,0,0
8,Male,France,fourth,fifth,second,822,1,1,0
6,Female,France,fourth,seventh,second,628,1,1,1
7,Female,France,sixth,first,fourth,544,1,0,0
7,Male,France,first,sixth,third,687,1,0,0
0,Female,France,third,sixth,second,704,2,1,0
2,Female,France,third,first,second,710,2,1,0
9,Male,France,third,first,fourth,699,1,1,0
3,Female,France,first,first,first,755,3,1,0
1,Female,France,seventh,sixth,fourth,582,2,1,0
7,Male,France,first,first,fifth,645,1,0,0
4,Male,France,sixth,first,fourth,527,2,1,1
1,Male,France,third,first,sixth,651,1,1,1
4,Male,France,sixth,first,first,683,2,1,0
1,Female,France,first,fifth,fifth,670,2,0,0
5,Male,France,third,first,second,465,2,0,0
5,Male,France,first,first,third,723,2,0,0
6,Male,France,first,first,first,850,2,1,0
4,Male,France,fifth,third,seventh,725,1,1,0
3,Female,France,first,first,seventh,656,2,1,0
7,Male,France,seventh,first,third,604,2,1,0
2,Female,France,third,first,first,607,2,1,0
4,Female,France,first,sixth,first,833,2,0,0
3,Female,France,fourth,first,seventh,815,3,1,1
7,Female,France,fifth,first,first,730,2,1,0
3,Male,France,fifth,first,fifth,613,2,0,0
10,Male,France,first,fourth,sixth,600,1,0,0
3,Female,France,fifth,sixth,fifth,649,1,1,0
2,Male,France,first,seventh,sixth,651,2,1,1
4,Male,France,sixth,first,second,503,2,1,0
2,Female,France,third,fourth,sixth,758,3,1,1
9,Male,France,first,fourth,third,631,2,1,0
3,Female,France,fifth,sixth,fourth,625,1,0,0
9,Male,France,seventh,first,sixth,792,4,1,1
2,Female,France,third,third,second,758,1,1,0
8,Male,France,sixth,first,second,465,2,1,0
8,Female,France,first,first,fifth,583,2,1,0
2,Male,France,third,first,second,629,2,0,0
10,Female,France,first,first,fourth,554,2,1,0
5,Female,France,sixth,fifth,fourth,565,1,1,0
2,Female,France,second,first,sixth,678,2,1,0
6,Male,France,seventh,third,second,850,1,1,0
6,Male,France,third,first,fifth,641,2,1,0
9,Female,France,third,fifth,seventh,477,2,1,1
4,Male,France,fourth,fifth,fourth,501,1,1,0
1,Male,France,fifth,first,third,631,2,0,0
4,Male,France,fifth,fifth,fourth,711,1,1,0
0,Male,France,third,first,seventh,673,1,1,0
7,Female,France,seventh,fifth,second,850,1,1,0
9,Female,France,second,third,fourth,603,1,0,0
6,Male,France,sixth,first,fifth,645,1,0,0
9,Male,France,first,fourth,first,466,1,1,0
5,Male,France,second,fourth,second,658,1,0,0
0,Male,France,fifth,first,sixth,621,1,1,1
2,Male,France,seventh,first,fourth,656,2,1,0
4,Female,France,seventh,sixth,fifth,686,2,1,0
3,Male,France,seventh,seventh,third,719,1,1,0
5,Male,France,sixth,sixth,fourth,784,1,0,0
1,Male,France,third,first,fifth,544,2,0,0
2,Female,France,seventh,fifth,fifth,790,1,1,0
9,Female,France,third,fifth,sixth,640,2,0,0
10,Male,France,first,first,first,584,2,1,0
2,Female,France,fifth,sixth,third,609,1,1,0
0,Male,France,third,first,first,662,2,0,0
4,Female,France,third,fourth,third,687,1,0,0
8,Male,France,sixth,first,second,850,2,1,0
1,Male,France,sixth,seventh,third,689,1,1,0
10,Male,France,second,fifth,first,609,1,0,0
5,Female,France,sixth,first,sixth,680,2,1,0
1,Male,France,seventh,seventh,third,606,1,1,1
5,Male,France,fourth,seventh,fourth,617,2,1,0
9,Male,France,first,first,seventh,592,4,1,1
7,Female,France,third,first,sixth,705,1,1,1
8,Female,France,second,sixth,first,712,1,1,0
1,Female,France,fourth,first,sixth,659,1,1,1
7,Male,France,first,third,second,669,1,0,0
3,Male,France,fourth,first,second,734,2,1,0
7,Male,France,fifth,sixth,second,621,1,1,0
7,Female,France,fourth,seventh,fifth,678,1,0,0
5,Female,France,first,first,fifth,846,3,1,1
9,Female,France,third,fourth,first,614,2,0,0
9,Male,France,third,fifth,fourth,541,1,1,0
1,Female,France,third,first,sixth,678,2,0,0
3,Male,France,fifth,first,fourth,408,2,0,0
7,Male,France,first,third,fifth,735,1,1,1
7,Male,France,fourth,first,fourth,569,1,1,0
8,Male,France,second,seventh,sixth,672,1,0,1
2,Male,France,sixth,seventh,fourth,685,2,1,0
4,Male,France,fifth,first,first,619,1,1,0
5,Male,France,second,sixth,second,698,2,0,0
5,Female,France,third,first,fourth,654,1,0,0
5,Male,France,third,first,fourth,606,2,1,0
1,Female,France,second,fourth,seventh,428,1,0,0
2,Male,France,fourth,first,fourth,587,4,0,1
1,Female,France,first,sixth,seventh,738,1,0,0
9,Male,France,sixth,sixth,fifth,697,2,0,0
2,Female,France,fifth,third,second,709,1,1,0
5,Male,France,fifth,first,second,637,2,1,0
4,Male,France,fourth,sixth,second,684,1,1,0
1,Male,France,sixth,fourth,seventh,685,1,1,0
7,Male,France,third,fifth,seventh,583,1,0,0
2,Female,France,fifth,fourth,fifth,516,2,1,0
4,Male,France,fifth,first,sixth,773,1,0,0
3,Male,France,seventh,fourth,fourth,553,1,0,0
9,Male,France,fifth,first,second,611,2,1,0
9,Male,France,third,first,seventh,587,1,1,0
3,Female,France,fifth,fourth,sixth,601,1,0,0
3,Female,France,sixth,seventh,fifth,781,1,1,0
2,Male,France,fifth,first,fourth,487,2,1,0
2,Male,France,first,third,fourth,618,1,1,0
8,Male,France,sixth,sixth,sixth,675,1,0,1
8,Male,France,third,first,first,715,2,1,0
1,Female,France,sixth,third,second,712,1,1,0
8,Female,France,fifth,fourth,fifth,669,1,0,1
2,Female,France,first,sixth,fifth,767,1,1,0
5,Male,France,third,first,third,602,2,1,0
1,Female,France,seventh,third,fourth,446,1,1,0
1,Female,France,second,first,first,678,2,1,0
9,Female,France,third,first,second,615,1,1,0
10,Female,France,first,sixth,sixth,790,1,0,1
2,Male,France,third,fourth,seventh,739,1,1,0
7,Male,France,first,seventh,second,640,1,1,1
1,Female,France,third,first,first,632,2,1,0
6,Female,France,sixth,fourth,seventh,691,1,1,1
3,Male,France,second,seventh,seventh,633,1,0,0
5,Female,France,sixth,first,fourth,665,2,1,0
2,Male,France,first,third,first,465,2,1,0
6,Male,France,fifth,third,second,792,2,0,0
10,Female,France,second,first,fourth,537,1,0,1
4,Female,France,fifth,fourth,sixth,646,1,0,0
5,Male,France,fifth,first,seventh,641,2,1,0
4,Female,France,third,first,third,438,2,1,0
4,Female,France,fourth,first,fifth,679,3,1,1
7,Female,France,third,first,fifth,703,2,0,0
3,Male,France,sixth,sixth,fourth,778,1,0,0
1,Female,France,third,seventh,sixth,558,2,0,1
4,Male,France,fourth,seventh,seventh,692,1,1,0
1,Male,France,seventh,third,seventh,517,3,1,1
4,Female,France,third,fourth,fifth,676,1,1,0
4,Male,France,seventh,fourth,fifth,635,2,1,0
8,Male,France,fourth,first,fourth,516,1,1,0
9,Female,France,fourth,first,sixth,743,1,1,0
9,Male,France,third,fourth,second,684,2,0,0
1,Female,France,third,seventh,fourth,623,1,0,0
3,Female,France,second,first,third,636,2,1,0
3,Male,France,fifth,seventh,fourth,632,2,1,0
4,Female,France,fourth,first,sixth,646,3,1,1
7,Male,France,seventh,third,first,564,2,0,0
8,Female,France,fifth,third,second,577,2,0,0
1,Female,France,sixth,fifth,first,544,1,1,0
6,Female,France,sixth,first,sixth,376,1,1,1
8,Male,France,fifth,seventh,fourth,833,2,1,0
5,Male,France,second,first,second,572,1,0,0
1,Female,France,fourth,first,second,627,1,1,0
5,Male,France,sixth,fourth,first,456,1,1,0
9,Female,France,first,first,seventh,560,1,1,0
6,Female,France,second,seventh,second,660,1,0,0
3,Female,France,fifth,first,fourth,718,2,1,0
4,Female,France,fourth,sixth,fourth,623,1,1,0
2,Female,France,first,first,fourth,657,2,1,0
2,Male,France,seventh,fifth,second,795,1,1,0
10,Male,France,second,first,first,655,2,1,0
8,Male,France,first,first,fourth,718,2,1,0
9,Female,France,second,third,sixth,669,1,1,0
2,Male,France,second,sixth,fourth,726,2,1,0
2,Male,France,second,fifth,third,662,2,0,0
7,Female,France,first,sixth,third,594,1,0,0
6,Female,France,first,seventh,second,529,1,1,0
7,Male,France,second,sixth,fourth,626,1,1,1
1,Male,France,sixth,fifth,second,469,1,1,0
10,Female,France,fifth,first,fifth,686,1,1,0
3,Male,France,fifth,first,fifth,850,2,1,0
2,Female,France,second,first,seventh,835,2,1,0
3,Male,France,first,first,sixth,695,2,1,0
6,Male,France,second,seventh,fifth,627,1,0,1
7,Female,France,third,first,sixth,534,2,1,0
8,Male,France,sixth,fifth,sixth,516,2,0,0
2,Female,France,sixth,seventh,first,617,2,0,0
9,Male,France,sixth,sixth,sixth,415,3,0,1
9,Male,France,third,fourth,seventh,486,1,1,0
6,Female,France,fifth,first,fifth,627,3,1,1
9,Female,France,fourth,first,first,695,2,1,0
9,Female,France,second,first,fourth,600,2,1,0
1,Female,France,fourth,first,fourth,699,2,0,0
6,Female,France,fifth,first,seventh,629,2,1,0
9,Female,France,fifth,fourth,third,443,1,1,1
2,Male,France,third,fifth,first,769,2,1,0
9,Male,France,sixth,fourth,fourth,741,2,1,0
3,Female,France,fifth,third,first,557,1,1,0
8,Female,France,sixth,first,sixth,797,1,0,0
2,Male,France,fifth,first,first,712,1,0,0
7,Female,France,first,sixth,second,661,2,1,0
4,Male,France,first,first,fifth,648,2,1,0
6,Male,France,third,fifth,fourth,850,1,1,0
2,Female,France,first,fourth,third,487,1,0,0
3,Male,France,sixth,fourth,third,657,1,1,0
7,Male,France,seventh,fifth,second,704,4,0,1
10,Female,France,fourth,first,fourth,583,2,0,0
3,Female,France,second,third,fourth,705,1,1,0
7,Male,France,third,fifth,first,541,1,0,0
8,Male,France,fourth,first,fifth,521,1,1,0
5,Male,France,sixth,first,third,732,2,1,0
4,Female,France,fourth,third,fifth,651,1,1,0
1,Male,France,second,first,first,749,3,1,0
4,Male,France,fourth,first,sixth,727,2,1,0
8,Female,France,first,sixth,fifth,542,1,0,0
9,Female,France,third,first,fourth,582,3,1,0
5,Female,France,first,first,fourth,740,2,1,0
2,Male,France,seventh,first,fifth,765,2,0,0
4,Male,France,second,sixth,third,492,2,1,0
1,Male,France,sixth,sixth,fourth,700,1,1,0
5,Female,France,third,fifth,seventh,724,1,1,0
10,Male,France,first,first,third,611,1,1,1
8,Female,France,second,fourth,third,686,1,1,0
1,Female,France,third,third,first,717,1,0,0
5,Male,France,third,first,fourth,571,2,0,0
0,Female,France,seventh,third,sixth,660,2,0,1
1,Male,France,second,first,second,711,1,0,0
4,Male,France,second,seventh,fourth,725,2,1,0
3,Male,France,fifth,first,first,723,2,1,0
7,Male,France,first,first,sixth,822,2,1,0
9,Female,France,first,first,fourth,644,1,1,0
1,Female,France,third,fifth,first,437,1,0,0
10,Female,France,sixth,fourth,first,528,2,0,0
1,Male,France,fourth,third,first,744,1,1,0
3,Male,France,fifth,first,third,708,1,0,1
2,Female,France,third,sixth,third,655,1,1,0
4,Male,France,fifth,fifth,first,700,1,1,0
0,Male,France,fifth,seventh,seventh,748,1,1,1
2,Male,France,fourth,first,seventh,651,1,1,1
6,Female,France,seventh,first,fifth,707,2,1,0
1,Male,France,third,fourth,third,756,1,1,0
9,Male,France,fourth,sixth,fifth,552,2,1,1
3,Male,France,second,third,seventh,757,1,1,1
7,Female,France,seventh,third,fourth,634,2,1,0
3,Female,France,sixth,sixth,second,661,1,1,0
1,Female,France,first,seventh,first,750,2,1,0
2,Male,France,fourth,third,third,698,2,1,0
1,Male,France,first,first,fourth,539,1,1,0
1,Female,France,fourth,third,fifth,712,1,0,0
4,Female,France,third,seventh,sixth,799,1,1,0
7,Male,France,third,first,fourth,670,2,1,0
7,Male,France,fourth,first,seventh,775,2,1,0
2,Female,France,fifth,first,first,639,2,0,0
3,Male,France,seventh,third,seventh,594,1,1,0
5,Male,France,fifth,third,seventh,611,2,1,0
1,Male,France,fourth,fourth,second,850,2,1,0
9,Female,France,fifth,first,second,678,1,1,0
7,Male,France,sixth,seventh,second,602,1,1,0
8,Female,France,seventh,third,seventh,408,1,0,1
2,Female,France,third,third,fifth,748,1,1,0
4,Female,France,fifth,first,third,678,1,1,0
1,Female,France,sixth,sixth,first,620,2,0,0
8,Male,France,second,fifth,second,670,1,1,0
3,Female,France,fifth,sixth,third,825,1,1,0
5,Male,France,sixth,sixth,third,618,1,1,0
2,Male,France,first,fifth,first,573,1,1,0
2,Female,France,seventh,first,second,646,2,0,0
7,Male,France,third,seventh,first,525,1,1,0
8,Female,France,fourth,first,second,602,2,1,0
9,Male,France,fifth,fifth,second,605,1,0,0
2,Male,France,second,fourth,fourth,549,2,0,0
1,Male,France,fifth,first,third,730,2,1,0
6,Male,France,first,sixth,third,734,1,1,0
9,Male,France,first,fourth,sixth,681,1,1,0
5,Male,France,third,third,first,755,2,1,0
5,Female,France,first,first,sixth,559,1,1,1
4,Female,France,fourth,third,fourth,639,2,0,0
2,Female,France,fifth,fourth,fourth,584,1,1,0
10,Male,France,sixth,sixth,fourth,457,2,1,0
10,Male,France,sixth,fourth,fourth,676,1,1,0
2,Male,France,fifth,fourth,sixth,500,1,1,0
10,Male,France,third,third,second,683,1,0,0
2,Male,France,third,seventh,third,637,1,1,0
6,Female,France,third,seventh,first,561,2,1,0
1,Male,France,sixth,fourth,sixth,762,1,1,0
7,Female,France,fourth,first,sixth,549,1,1,0
7,Female,France,fourth,first,fifth,840,2,1,0
6,Female,France,fifth,seventh,fifth,716,1,0,0
7,Male,France,fourth,third,second,553,1,0,0
9,Female,France,first,first,fourth,744,2,0,0
9,Female,France,second,third,seventh,737,2,1,0
5,Female,France,seventh,first,first,549,2,0,0
7,Female,France,sixth,third,sixth,748,1,0,1
5,Male,France,fourth,first,first,521,2,1,0
6,Female,France,second,fourth,second,669,1,1,0
0,Female,France,second,fourth,second,507,1,0,0
7,Male,France,fourth,sixth,first,487,2,1,0
8,Male,France,third,first,first,711,2,1,0
5,Female,France,fourth,first,fourth,600,2,0,0
8,Male,France,third,sixth,first,757,1,1,0
10,Male,France,third,first,third,721,2,1,0
8,Male,France,fifth,first,second,600,2,1,0
7,Male,France,fourth,first,fifth,667,1,0,1
8,Male,France,second,first,third,636,2,1,0
3,Female,France,fourth,fourth,seventh,491,1,0,0
1,Male,France,seventh,first,second,705,1,1,0
8,Male,France,third,first,fifth,571,1,1,0
4,Female,France,sixth,third,first,747,2,1,0
10,Male,France,fifth,first,fourth,656,1,1,0
4,Male,France,third,first,fifth,751,2,1,0
6,Female,France,third,sixth,seventh,590,1,1,1
6,Female,France,second,seventh,third,683,2,1,0
1,Male,France,sixth,first,third,652,2,1,0
8,Male,France,sixth,third,sixth,646,1,0,1
8,Female,France,fifth,first,fourth,651,1,1,0
7,Female,France,seventh,fifth,fourth,519,1,1,0
5,Male,France,first,sixth,second,415,1,1,0
2,Male,France,second,first,fourth,670,2,1,0
2,Male,France,fifth,first,first,575,2,1,0
6,Male,France,fifth,first,fourth,628,2,0,0
1,Male,France,sixth,first,first,559,2,0,0
6,Female,France,sixth,seventh,fourth,602,2,1,1
4,Female,France,seventh,first,first,615,2,1,0
5,Female,France,fifth,fifth,fourth,683,1,1,0
5,Male,France,second,first,fourth,539,2,1,0
1,Male,France,seventh,first,third,609,1,1,0
6,Male,France,fourth,seventh,fourth,692,1,0,0
3,Male,France,first,first,fourth,523,2,1,0
0,Male,France,second,sixth,seventh,627,1,0,0
9,Female,France,second,third,first,714,1,1,0
7,Female,France,fifth,first,fourth,721,2,1,0
6,Female,France,fifth,fourth,third,647,1,0,0
4,Female,France,third,first,second,608,1,1,1
9,Female,France,second,first,second,736,2,1,0
5,Female,France,fifth,sixth,fourth,684,1,0,0
1,Female,France,seventh,third,fourth,738,2,0,0
9,Male,France,second,first,fifth,667,2,0,0
9,Male,France,third,third,seventh,576,1,0,1
7,Male,France,fourth,third,first,665,1,0,0
0,Female,France,sixth,first,sixth,826,1,0,1
4,Male,France,first,fourth,fifth,645,1,1,0
6,Female,France,second,first,second,633,2,0,0
6,Female,France,third,first,first,488,2,1,0
2,Female,France,second,sixth,first,551,1,1,0
8,Female,France,first,third,fifth,634,1,1,0
6,Female,France,fifth,first,sixth,662,2,1,0
1,Female,Spain,fourth,third,fifth,608,1,0,0
2,Female,Spain,third,fifth,fifth,850,1,1,0
8,Male,Spain,sixth,fifth,fifth,645,2,1,1
4,Female,Germany,fourth,fifth,first,376,4,1,1
3,Male,Spain,third,first,first,497,2,1,0
7,Female,Spain,third,first,third,635,2,1,0
3,Male,Germany,third,sixth,sixth,616,2,0,0
1,Male,Germany,first,sixth,seventh,653,1,1,1
9,Female,Spain,first,first,first,549,2,1,0
6,Male,Spain,sixth,first,sixth,587,1,0,0
8,Female,Spain,fifth,first,second,636,2,1,0
4,Female,Spain,fourth,first,fourth,510,1,1,1
2,Male,Germany,sixth,sixth,third,756,1,1,0
3,Female,Germany,fourth,sixth,fifth,574,1,1,0
3,Female,Spain,fifth,first,fourth,591,3,1,1
9,Male,Germany,third,fourth,fifth,553,2,0,0
6,Female,Spain,second,first,fifth,520,2,1,0
9,Female,Spain,fifth,first,first,722,2,1,0
3,Male,Spain,fourth,sixth,second,490,1,0,0
7,Male,Spain,fourth,third,second,804,1,0,0
6,Male,Germany,sixth,third,fifth,582,2,0,0
4,Male,Spain,third,first,fourth,472,1,1,0
5,Female,Spain,sixth,seventh,seventh,660,1,1,0
4,Female,Germany,fifth,fourth,second,776,2,1,0
9,Female,Germany,fourth,fourth,first,829,1,1,1
9,Female,Germany,fourth,sixth,fourth,637,1,1,1
2,Male,Germany,fourth,fourth,fourth,550,1,0,0
2,Female,Germany,seventh,fourth,fourth,776,2,1,0
10,Male,Germany,seventh,fifth,fifth,698,2,1,0
5,Male,Germany,third,sixth,third,585,2,0,0
8,Male,Germany,sixth,fifth,fifth,655,1,0,1
1,Male,Germany,second,fourth,fifth,601,1,1,1
0,Male,Germany,second,third,first,725,1,0,0
4,Female,Spain,first,first,seventh,511,1,1,1
5,Male,Germany,third,sixth,third,742,1,0,0
9,Female,Germany,fifth,seventh,first,687,2,0,0
1,Male,Spain,sixth,third,second,555,2,0,0
8,Male,Spain,fourth,third,seventh,684,1,1,0
4,Male,Germany,fourth,fourth,first,603,1,1,0
6,Female,Germany,first,seventh,third,751,2,1,0
1,Female,Germany,fourth,fourth,third,581,1,1,0
10,Male,Germany,seventh,fifth,fifth,735,2,1,0
5,Female,Germany,fourth,seventh,third,661,2,0,0
2,Male,Germany,first,sixth,seventh,738,4,1,1
0,Female,Spain,second,seventh,fourth,657,1,0,0
5,Female,Germany,second,seventh,first,604,2,1,0
5,Male,Spain,seventh,third,second,757,1,0,0
10,Female,Germany,fourth,fifth,fifth,416,2,1,0
10,Female,Spain,fourth,first,seventh,652,2,1,0
3,Male,Spain,fifth,fifth,first,750,1,1,1
3,Female,Germany,sixth,third,first,635,2,1,0
5,Female,Spain,sixth,first,fifth,647,3,1,1
4,Male,Spain,third,first,fifth,730,2,0,0
10,Male,Spain,fifth,seventh,third,515,1,0,0
9,Male,Spain,third,fourth,fifth,773,1,0,0
8,Male,Germany,seventh,fourth,first,814,2,1,0
8,Male,Spain,fourth,first,first,710,2,0,0
7,Male,Spain,second,first,third,528,2,1,0
1,Female,Spain,sixth,first,seventh,670,1,1,1
4,Female,Spain,first,fourth,sixth,622,2,1,1
1,Male,Germany,first,third,second,582,1,1,0
2,Female,Germany,second,fourth,third,785,1,0,0
5,Male,Spain,third,sixth,second,605,1,0,0
9,Male,Germany,fourth,third,third,479,1,1,1
3,Male,Germany,third,third,second,685,1,0,0
7,Male,Germany,first,fourth,fourth,538,2,1,0
9,Male,Spain,first,fourth,third,675,1,0,0
9,Male,Germany,fourth,seventh,first,721,2,0,1
9,Female,Germany,third,sixth,second,628,2,1,0
6,Female,Germany,fourth,seventh,fourth,668,1,1,0
8,Female,Germany,seventh,fourth,second,524,1,1,1
4,Male,Germany,fifth,seventh,third,699,2,1,0
6,Male,Spain,fourth,fifth,fourth,674,1,0,0
10,Female,Germany,seventh,fifth,sixth,684,1,1,0
0,Male,Germany,second,sixth,seventh,625,1,1,1
9,Female,Germany,fourth,sixth,second,795,1,1,0
7,Male,Germany,fifth,fifth,fourth,789,2,1,0
5,Female,Germany,second,sixth,sixth,589,2,1,0
5,Female,Germany,sixth,third,third,461,1,0,0
2,Female,Spain,third,seventh,sixth,584,1,1,1
1,Female,Spain,first,sixth,third,579,2,0,1
10,Male,Germany,seventh,sixth,fifth,756,1,1,0
2,Male,Spain,sixth,first,sixth,793,1,1,1
5,Female,Spain,second,fourth,first,485,1,1,0
8,Female,Spain,fifth,sixth,first,635,2,1,0
7,Female,Spain,third,first,second,754,2,1,0
8,Male,Spain,seventh,first,fifth,716,2,1,0
7,Male,Spain,first,first,seventh,706,1,1,1
2,Female,Spain,fourth,first,first,586,2,1,0
4,Female,Germany,fourth,fifth,second,631,1,0,0
6,Female,Spain,third,fourth,first,717,1,0,0
2,Female,Spain,fourth,first,third,721,2,1,0
0,Male,Spain,second,sixth,first,683,1,1,1
9,Male,Germany,fifth,fifth,second,660,2,1,0
7,Female,Germany,sixth,fourth,first,704,1,1,1
9,Female,Spain,seventh,fourth,fifth,615,1,1,0
2,Female,Spain,second,first,fourth,667,2,1,1
9,Male,Germany,second,third,first,682,2,0,0
5,Male,Germany,sixth,fourth,first,628,2,1,0
10,Male,Germany,first,sixth,fifth,480,1,1,1
7,Female,Spain,first,sixth,third,484,1,1,0
5,Male,Germany,sixth,seventh,third,606,2,0,0
8,Female,Spain,fourth,fourth,fourth,597,1,0,0
3,Female,Germany,first,seventh,seventh,754,1,1,1
2,Female,Spain,first,fifth,sixth,850,1,1,0
1,Female,Germany,sixth,seventh,sixth,778,2,1,0
0,Female,Spain,fifth,first,fourth,525,1,0,0
5,Male,Spain,seventh,first,second,616,2,0,0
7,Female,Germany,fifth,fourth,third,687,2,1,0
9,Male,Spain,fifth,third,first,580,2,1,0
6,Female,Spain,second,first,second,616,2,1,0
3,Male,Germany,sixth,fourth,fourth,721,1,1,0
2,Male,Spain,first,sixth,second,850,1,1,0
5,Male,Spain,fifth,first,sixth,516,1,0,1
3,Male,Spain,fourth,seventh,second,512,1,1,0
3,Female,Spain,seventh,third,fifth,608,1,0,1
2,Male,Germany,sixth,seventh,second,689,2,1,0
4,Male,Germany,second,fifth,first,572,2,0,0
7,Male,Germany,sixth,fourth,sixth,668,1,0,1
9,Female,Spain,sixth,first,second,730,2,0,0
7,Male,Spain,fifth,first,second,514,1,0,0
6,Male,Germany,fourth,fourth,sixth,671,1,1,1
6,Female,Germany,third,third,fourth,547,3,1,1
2,Male,Germany,third,fourth,sixth,751,1,1,1
3,Female,Germany,third,sixth,first,594,1,1,0
3,Male,Germany,sixth,fifth,first,767,2,0,0
6,Male,Germany,second,fourth,fifth,763,1,1,1
3,Female,Germany,second,fifth,fifth,539,3,1,1
4,Male,Spain,fifth,first,fourth,662,2,1,0
5,Female,Germany,fifth,fifth,fourth,725,1,1,0
6,Male,Germany,second,fifth,seventh,659,1,1,1
7,Male,Spain,third,first,third,523,2,1,0
7,Male,Germany,third,seventh,first,772,2,1,0
8,Male,Germany,sixth,fourth,first,634,1,1,0
8,Male,Germany,fifth,fifth,sixth,739,1,1,1
5,Female,Germany,fourth,third,third,771,1,0,0
1,Female,Spain,fourth,first,third,587,2,1,0
2,Male,Germany,second,third,fourth,544,1,1,0
8,Male,Spain,sixth,first,first,696,1,0,0
0,Male,Spain,second,first,fifth,766,2,0,0
6,Female,Germany,sixth,third,third,671,2,0,0
3,Male,Germany,fifth,third,fourth,850,1,1,0
9,Male,Germany,third,fourth,fifth,732,2,1,0
6,Female,Spain,third,fourth,sixth,726,1,1,0
9,Male,Spain,first,third,second,738,1,1,0
9,Female,Spain,fifth,fourth,third,531,1,1,0
7,Female,Spain,third,first,fourth,549,1,0,1
7,Female,Germany,sixth,third,third,791,1,1,0
9,Male,Spain,seventh,first,fifth,650,2,0,0
3,Male,Germany,second,fourth,third,733,3,1,1
1,Female,Germany,seventh,sixth,third,811,2,1,0
4,Male,Germany,fourth,sixth,first,712,1,0,0
7,Female,Spain,fourth,first,fourth,706,2,1,0
10,Male,Spain,third,first,first,775,2,1,0
4,Male,Germany,second,sixth,third,479,1,1,1
5,Male,Spain,sixth,fourth,first,602,1,1,0
5,Female,Spain,seventh,seventh,first,744,1,1,0
10,Male,Spain,third,first,third,588,2,1,0
9,Male,Germany,fifth,third,fifth,703,1,0,0
5,Female,Spain,seventh,third,fifth,747,2,1,0
9,Female,Spain,sixth,fourth,third,750,1,0,1
7,Female,Spain,sixth,first,fifth,687,3,1,1
6,Female,Spain,first,sixth,third,616,1,0,0
7,Male,Germany,second,seventh,third,629,2,1,0
8,Male,Germany,second,third,second,438,1,1,0
6,Male,Germany,fifth,third,second,729,1,1,0
0,Female,Germany,seventh,sixth,seventh,806,1,1,0
2,Male,Spain,third,seventh,third,744,1,1,0
3,Male,Spain,second,first,fourth,474,2,0,0
9,Male,Spain,first,first,fifth,706,2,1,0
3,Female,Spain,third,first,first,628,1,1,0
2,Female,Spain,third,sixth,seventh,525,1,1,0
1,Male,Germany,sixth,sixth,third,671,1,1,0
7,Male,Germany,fourth,fifth,first,664,2,1,0
1,Female,Spain,first,sixth,fourth,667,1,1,0
2,Male,Germany,fifth,fifth,fifth,663,2,0,0
8,Female,Germany,sixth,fourth,second,584,1,1,1
6,Female,Spain,first,fourth,fourth,626,1,1,0
3,Female,Germany,sixth,seventh,second,659,2,0,0
5,Female,Spain,first,seventh,fourth,805,1,1,1
10,Female,Germany,second,fifth,fourth,716,1,1,1
6,Female,Germany,third,sixth,fourth,642,2,0,1
5,Female,Spain,second,first,sixth,545,2,1,0
9,Female,Germany,fifth,fourth,third,630,2,1,0
3,Male,Germany,second,seventh,seventh,643,1,1,0
1,Female,Germany,fifth,fifth,second,654,1,1,0
3,Male,Spain,fourth,fourth,second,659,2,1,0
2,Male,Spain,first,third,fourth,762,1,1,0
7,Female,Spain,third,seventh,second,568,1,1,0
6,Male,Spain,third,first,first,670,2,1,0
8,Female,Spain,fifth,fifth,seventh,850,2,1,0
9,Male,Spain,sixth,fifth,third,522,1,1,1
3,Male,Spain,seventh,first,first,706,2,0,0
2,Female,Germany,first,seventh,sixth,643,1,0,1
9,Female,Germany,first,fourth,first,443,2,1,0
3,Female,Spain,seventh,first,second,628,1,1,0
9,Female,Germany,sixth,third,fifth,540,2,1,0
8,Female,Germany,seventh,fourth,third,460,2,1,0
2,Male,Germany,second,third,third,636,2,0,0
4,Male,Spain,first,sixth,fifth,801,1,1,0
