,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
7929,828,France,Male,30,4,73070.18,2,0,0,161671.15
6349,542,France,Female,25,7,0.0,2,0,1,82393.08
9738,760,France,Male,37,7,0.0,1,0,0,32863.24
9341,654,France,Male,29,7,0.0,2,1,1,149184.15
7652,704,France,Male,24,2,148197.15,2,1,0,182775.08
7526,850,France,Female,81,1,0.0,2,1,1,59568.24
8781,438,France,Male,60,7,78391.17,1,0,1,49424.6
7965,625,France,Female,51,4,124620.01,2,1,0,92243.94
8199,810,France,Male,32,9,120879.73,2,0,1,78896.59
2809,624,France,Female,32,2,79368.87,2,1,1,145471.94
6389,605,France,Female,30,9,135422.31,1,0,1,186418.85
7055,620,France,Female,33,9,127638.35,1,1,1,192717.57
4896,605,France,Male,41,5,91612.91,1,1,1,28427.84
284,799,France,Female,22,8,174185.98,2,0,1,192633.85
5742,832,France,Male,61,2,0.0,1,0,1,127804.66
6209,690,France,Female,40,9,77641.99,1,0,0,189051.59
8800,691,France,Male,37,9,149405.18,1,1,1,146411.6
2546,660,France,Male,50,1,0.0,3,1,1,191849.15
8738,627,France,Male,43,8,71240.3,1,0,1,127734.16
6012,738,France,Female,26,3,0.0,2,1,0,67484.16
2130,704,France,Female,45,6,0.0,1,1,1,137739.45
9458,523,France,Male,36,8,158351.02,2,1,0,155304.53
1705,452,France,Male,35,4,148172.44,1,1,1,4175.68
8693,621,France,Female,50,5,0.0,2,1,0,191756.54
2657,562,France,Male,29,9,0.0,1,1,1,25858.68
1918,768,France,Female,28,3,109118.05,2,0,1,50911.41
7853,730,France,Female,47,7,0.0,1,1,0,33373.26
9002,605,France,Male,36,7,128829.25,1,1,0,190588.59
9063,609,France,Male,39,3,121778.71,1,1,1,138399.67
5201,569,France,Male,36,1,67087.69,1,1,0,154775.7
6802,662,France,Male,32,9,0.0,2,0,0,65089.38
3807,470,France,Male,30,3,101140.76,1,1,1,50906.65
1522,787,France,Female,35,1,106266.8,1,1,1,16607.15
2045,668,France,Female,31,9,0.0,2,0,0,41291.73
3041,671,France,Male,34,7,106603.74,2,1,1,26387.71
5247,633,France,Male,59,5,0.0,1,1,1,137273.97
1203,463,France,Male,35,2,101257.16,1,1,1,118113.64
8837,664,France,Male,46,2,0.0,1,1,1,177423.02
501,692,France,Male,54,5,0.0,2,1,1,88721.84
3053,601,France,Female,34,5,0.0,2,1,0,27022.57
4032,430,France,Male,38,9,0.0,2,1,1,12050.77
4017,811,France,Male,46,9,180226.24,1,1,0,13464.64
3103,655,France,Female,47,10,0.0,2,1,0,167778.62
1012,548,France,Female,29,4,0.0,2,0,1,48673.18
7030,574,France,Male,33,8,100267.03,1,1,0,103006.27
7060,712,France,Female,32,1,0.0,2,1,0,1703.58
5889,727,France,Female,31,2,52192.08,2,0,1,160383.47
8620,768,France,Female,40,8,0.0,2,0,1,69080.46
3124,760,France,Male,39,6,178585.46,1,1,0,67131.3
2312,545,France,Female,55,5,0.0,1,0,0,10034.77
3072,740,France,Female,30,8,105209.54,1,1,0,1852.58
5390,735,France,Female,38,1,0.0,3,0,0,92220.12
667,503,France,Male,29,3,0.0,2,1,1,143954.99
9134,481,France,Male,40,3,0.0,1,1,1,32319.93
6684,562,France,Female,57,3,0.0,3,1,0,6554.97
5346,603,France,Male,31,1,129743.75,1,1,0,109145.2
5002,590,France,Male,43,7,81076.8,2,1,1,182627.25
5738,653,France,Male,38,8,119315.75,1,1,0,150468.35
2391,850,France,Male,31,3,0.0,2,1,0,121866.87
938,577,France,Female,37,4,0.0,1,1,1,79881.39
6985,825,France,Male,32,9,0.0,2,0,0,9751.03
154,614,France,Female,43,6,0.0,2,1,1,109041.53
9461,697,France,Male,40,4,0.0,2,0,1,26543.28
5764,726,France,Female,34,0,185734.75,1,1,1,102036.82
8517,688,France,Male,20,8,137624.4,2,1,1,197582.79
5728,701,France,Male,41,10,0.0,2,1,1,146257.77
1508,576,France,Male,36,6,0.0,2,1,1,48314.0
6260,666,France,Female,32,10,112536.57,2,1,1,34350.54
1506,747,France,Male,27,10,0.0,2,0,0,13007.89
29,411,France,Male,29,0,59697.17,2,1,1,53483.21
9945,645,France,Male,44,10,0.0,2,0,1,166707.22
4074,718,France,Female,35,2,167924.95,1,1,0,43024.64
2702,622,France,Female,30,4,107879.04,1,0,1,196894.62
7622,794,France,Male,46,6,0.0,2,1,0,195325.74
3086,716,France,Female,22,8,0.0,2,1,1,92606.98
5683,615,France,Female,61,1,104267.7,1,1,0,62845.64
1519,544,France,Female,64,3,124043.8,1,1,1,111402.97
9121,618,France,Female,40,0,0.0,1,1,0,119059.13
120,828,France,Male,34,8,129433.34,2,0,0,38131.77
1205,780,France,Male,76,10,121313.88,1,0,1,64872.33
4174,568,France,Male,51,4,0.0,3,1,1,66586.56
4818,752,France,Female,36,1,86837.95,1,1,1,105280.55
8754,776,France,Female,43,4,0.0,2,0,1,162137.5
8090,697,France,Female,48,1,0.0,2,1,1,87400.53
7345,719,France,Male,49,5,105918.1,1,1,1,16246.59
3288,640,France,Female,30,6,107499.7,1,1,1,187632.22
5572,565,France,Male,34,6,0.0,1,1,1,63173.64
7635,516,France,Female,29,2,104982.57,1,1,0,157378.5
7589,723,France,Female,35,0,0.0,2,0,1,61290.99
2582,656,France,Female,46,5,113402.14,2,1,1,138849.06
4809,822,France,Male,37,3,105563.0,1,1,0,182624.93
2737,472,France,Male,31,4,58662.92,2,0,1,73322.0
8357,651,France,Male,34,3,0.0,2,1,1,105599.65
463,662,France,Female,32,4,133950.37,1,1,1,48725.68
443,745,France,Male,46,2,122220.19,1,1,1,118024.1
5477,724,France,Female,34,2,0.0,2,1,1,118863.38
5615,520,France,Female,29,8,95947.76,1,1,0,4696.44
1409,444,France,Female,40,5,84350.07,1,1,0,143835.76
5496,620,France,Female,42,1,0.0,2,0,1,65565.92
4586,602,France,Female,25,0,0.0,2,1,1,101274.17
9983,613,France,Male,40,4,0.0,1,0,0,151325.24
3533,695,France,Female,42,5,0.0,1,0,1,72172.13
9116,562,France,Male,62,3,0.0,2,1,0,105986.01
3384,775,France,Female,66,9,0.0,2,1,1,67622.34
7490,654,France,Female,35,2,90865.8,1,1,1,86764.46
8399,543,France,Female,34,8,0.0,2,0,1,145601.8
6377,692,France,Male,33,9,0.0,1,1,0,113505.93
936,775,France,Male,52,8,109922.61,1,1,1,96823.32
9688,850,France,Male,68,5,169445.4,1,1,1,186335.07
982,668,France,Male,32,7,0.0,2,1,1,777.37
3858,695,France,Male,45,9,43134.65,1,0,1,77330.35
626,427,France,Male,29,1,141325.56,1,1,1,93839.3
9509,688,France,Male,29,1,0.0,2,1,0,154695.57
5080,731,France,Male,29,10,0.0,2,1,1,162452.65
6989,700,France,Female,36,4,0.0,2,1,0,130789.15
5070,641,France,Female,42,6,0.0,2,0,0,121138.77
4877,737,France,Male,44,7,0.0,2,0,0,57898.58
7489,600,France,Female,26,6,108909.12,1,1,0,82547.01
3704,604,France,Female,34,7,0.0,2,1,0,193021.49
4266,536,France,Female,35,8,0.0,1,1,0,171840.24
3659,534,France,Female,42,9,144801.97,1,0,1,12483.39
7686,718,France,Male,48,9,0.0,2,1,1,72105.63
7336,654,France,Female,28,7,0.0,2,1,0,151316.37
6480,679,France,Female,24,6,114948.76,2,0,1,135768.25
6339,644,France,Female,24,8,92760.55,1,1,0,35896.75
8246,663,France,Male,24,7,0.0,2,1,1,166310.82
2955,577,France,Female,46,1,0.0,1,1,1,158750.53
2758,624,France,Male,36,6,0.0,2,0,0,84635.64
5438,679,France,Male,34,7,160515.37,1,1,0,121904.14
6415,674,France,Female,42,9,0.0,2,1,0,4292.72
3142,697,France,Female,76,7,0.0,2,0,1,188772.45
9320,636,France,Male,31,6,0.0,2,1,1,2382.61
1326,781,France,Female,38,3,128345.69,2,1,0,63218.85
9077,730,France,Female,36,8,148749.29,2,1,0,91830.75
6668,606,France,Male,34,5,0.0,1,1,0,161971.42
6629,579,France,Male,39,5,0.0,2,0,1,39891.84
9922,667,France,Male,36,8,139753.35,1,1,0,79871.16
2446,758,France,Male,51,8,81710.46,1,1,1,116520.07
5404,657,France,Male,37,4,82500.28,1,1,1,115260.72
6229,777,France,Male,36,7,0.0,1,1,0,106472.34
1241,519,France,Female,21,1,146329.57,2,1,1,194867.27
3753,777,France,Male,23,6,0.0,2,1,1,163225.48
7038,630,France,Male,31,0,0.0,2,1,1,34475.14
9597,509,France,Male,26,10,0.0,2,1,1,6177.83
2450,589,France,Female,46,10,107238.85,2,1,0,37024.28
6914,702,France,Male,40,7,145536.9,1,0,1,135334.24
8457,541,France,Male,32,8,0.0,2,0,0,40889.14
1647,703,France,Female,45,7,0.0,2,1,1,68831.72
6642,589,France,Female,37,6,138497.84,1,0,1,18988.58
3183,636,France,Male,43,6,0.0,2,1,0,43128.95
8921,472,France,Female,37,1,0.0,2,1,1,48357.9
8133,720,France,Female,34,3,118307.57,2,1,1,136120.29
8067,530,France,Female,29,5,0.0,2,0,0,121451.21
5371,712,France,Male,33,3,153819.58,1,1,0,79176.09
8895,699,France,Female,40,8,122038.34,1,1,0,102085.35
5307,534,France,Female,49,7,0.0,1,1,0,13566.48
7020,651,France,Male,28,7,0.0,2,1,0,823.96
6571,595,France,Male,46,10,0.0,1,1,0,73489.15
8919,673,France,Male,32,8,121240.76,1,1,0,116969.73
8136,716,France,Female,38,1,0.0,2,1,1,99661.46
9447,718,France,Female,41,1,0.0,2,0,1,27509.52
2049,720,France,Female,45,1,102882.4,2,1,1,35633.15
6467,540,France,Female,31,7,0.0,1,0,1,183051.6
4203,791,France,Female,52,7,0.0,1,1,1,122782.5
4605,530,France,Female,34,8,0.0,2,0,1,141872.52
6946,418,France,Male,36,7,90145.04,1,1,1,69157.93
2932,688,France,Female,54,9,0.0,1,1,0,191212.63
8077,693,France,Male,40,4,130661.96,1,1,1,101918.96
9976,637,France,Female,33,7,103377.81,1,1,0,84419.78
7687,754,France,Male,61,5,146622.35,1,1,1,41815.22
181,510,France,Male,65,2,0.0,2,1,1,48071.61
9217,644,France,Male,31,5,0.0,2,1,1,41872.17
9180,637,France,Female,44,2,0.0,2,1,0,149665.65
3735,447,France,Female,32,10,0.0,1,1,1,151815.76
277,777,France,Female,53,10,0.0,2,1,0,189992.97
6779,535,France,Male,38,2,119272.29,1,0,0,195896.59
9200,739,France,Female,30,6,0.0,1,0,0,122604.44
9596,531,France,Male,37,7,121854.45,1,1,0,147521.35
8735,728,France,Male,30,10,114835.43,1,0,1,37662.49
1429,601,France,Female,26,8,78892.23,1,1,1,23703.52
4112,700,France,Female,30,9,0.0,1,1,1,174971.64
3869,512,France,Female,31,7,0.0,2,0,0,49326.07
3428,641,France,Female,35,4,0.0,2,0,0,125986.18
2654,532,France,Male,44,3,148595.55,1,1,0,74838.64
6054,633,France,Female,47,0,0.0,1,1,1,6342.84
7547,555,France,Male,29,4,128744.04,1,1,1,47454.93
6974,662,France,Male,44,8,0.0,2,1,1,175314.87
9117,703,France,Female,32,6,0.0,2,0,0,33606.52
1106,678,France,Female,38,2,0.0,2,0,0,115068.99
8139,792,France,Male,30,1,127187.86,1,1,1,113553.42
5275,683,France,Female,42,8,0.0,2,0,1,198134.9
1222,536,France,Male,46,1,65733.41,1,1,0,61094.53
3963,607,France,Male,31,8,0.0,2,1,1,43196.5
611,650,France,Female,27,6,0.0,2,1,0,1002.39
5984,662,France,Female,41,4,0.0,2,1,0,126551.48
726,580,France,Male,37,9,0.0,2,0,1,77108.66
4546,662,France,Female,37,5,0.0,2,1,0,151871.84
7920,714,France,Male,34,5,141173.03,1,0,1,98896.06
479,658,France,Male,29,4,80262.6,1,1,1,20612.82
1483,850,France,Male,36,1,104077.19,2,0,1,68594.0
1460,578,France,Male,23,10,88980.32,1,1,1,125222.36
4178,510,France,Female,32,1,0.0,2,0,1,28515.17
3368,630,France,Male,67,5,0.0,2,1,1,27330.27
7235,697,France,Male,35,5,133087.76,1,1,0,64771.61
6623,581,France,Male,28,3,104367.5,1,1,1,29937.75
4650,670,France,Male,33,2,141204.65,2,1,0,76257.46
4819,613,France,Male,26,4,100446.57,1,0,1,149653.81
2134,713,France,Male,44,1,63438.91,1,1,0,64375.4
9023,663,France,Male,28,4,0.0,2,1,1,123969.64
6688,550,France,Male,22,6,154377.3,1,1,1,51721.52
3524,763,France,Female,35,7,115651.6,2,1,1,104706.29
9883,678,France,Male,41,2,148088.11,1,1,0,14083.12
5241,574,France,Male,41,1,0.0,2,0,0,70550.0
4615,565,France,Female,44,1,0.0,2,0,1,89602.81
4206,604,France,Female,47,8,62094.71,3,0,0,9308.1
8765,675,France,Male,39,1,0.0,2,1,0,153129.22
1489,609,France,Female,39,8,141675.23,1,0,1,175664.25
9874,720,France,Male,44,4,0.0,2,1,0,163471.01
7167,676,France,Male,29,7,131959.86,1,0,0,189268.81
1180,621,France,Male,34,6,0.0,2,1,1,99128.13
603,566,France,Male,30,5,0.0,1,1,0,54926.51
4279,604,France,Male,33,3,148659.48,1,0,0,42437.75
1308,710,France,Male,33,10,118327.17,2,1,1,192928.82
8446,691,France,Female,33,6,0.0,2,1,0,164074.89
3523,835,France,Male,35,6,127120.07,1,1,0,28707.69
3529,623,France,Female,24,5,0.0,2,1,0,116160.04
6544,709,France,Female,45,3,104118.5,1,0,1,174032.0
9154,581,France,Female,27,5,102258.11,2,1,0,194681.6
1891,584,France,Female,37,1,0.0,2,1,1,180363.56
5632,644,France,Male,44,5,73348.56,1,1,0,157166.79
2962,550,France,Male,38,9,140278.99,3,1,1,171457.06
258,693,France,Female,30,6,127992.25,1,1,1,50457.2
3353,508,France,Female,31,7,0.0,2,1,1,6123.15
9563,703,France,Male,28,9,0.0,2,0,1,2151.17
5943,645,France,Female,55,7,0.0,2,1,1,18369.33
8772,768,France,Male,30,6,0.0,2,1,1,199454.37
516,468,France,Female,56,10,0.0,3,0,1,62256.87
3087,439,France,Male,36,2,165536.28,2,1,1,123956.83
5453,714,France,Female,25,4,0.0,2,0,0,82500.84
7899,642,France,Female,40,7,0.0,2,1,0,183963.34
5778,526,France,Female,36,0,0.0,2,1,0,97767.63
577,755,France,Male,30,4,123217.66,2,0,1,144183.1
3020,571,France,Female,38,6,107193.82,2,0,0,38962.94
4135,712,France,Female,29,3,87375.78,2,0,0,166194.53
6032,686,France,Male,39,4,0.0,2,1,0,155023.93
7194,799,France,Male,70,8,70416.75,1,1,1,36483.52
279,714,France,Male,46,1,0.0,1,1,0,152167.79
5147,669,France,Female,38,9,121858.98,1,1,0,130755.34
7583,682,France,Male,26,8,0.0,2,1,0,178373.43
2512,734,France,Male,51,1,118537.47,1,1,1,116912.45
6105,617,France,Female,34,0,131244.65,2,1,0,183229.02
6138,477,France,Male,47,9,144900.58,1,1,0,61315.37
2635,592,France,Female,27,4,0.0,2,1,1,183569.25
220,726,France,Female,31,9,114722.05,2,1,1,98178.57
1302,428,France,Female,31,2,0.0,2,1,0,54487.43
7992,685,France,Female,40,7,0.0,2,1,0,103898.59
102,738,France,Male,31,9,82674.15,1,1,0,41970.72
5222,550,France,Female,22,7,139096.85,1,1,0,129890.94
1459,817,France,Female,55,10,117561.49,1,1,0,95941.55
1371,611,France,Female,43,8,64897.75,1,1,0,114996.33
9789,610,France,Female,45,1,0.0,2,1,1,199657.46
8811,610,France,Female,35,7,81905.95,1,1,1,61623.19
3202,564,France,Female,33,4,135946.26,1,1,0,63170.0
1745,529,France,Male,30,2,116295.29,1,1,0,75285.47
9954,645,France,Male,45,6,155417.61,1,0,1,3449.22
6500,582,France,Female,43,5,153313.67,1,0,0,170563.73
9233,543,France,Female,31,4,138317.94,1,0,0,61843.73
4020,721,France,Male,42,4,102936.72,1,0,0,1187.88
8566,679,France,Female,39,4,0.0,1,0,0,172939.3
1779,703,France,Male,36,2,0.0,2,1,0,108790.95
2927,632,France,Male,32,6,111589.33,1,1,1,170382.99
9176,573,France,Male,35,9,0.0,2,1,0,11743.89
5862,682,France,Male,40,4,0.0,2,1,1,140745.91
6873,628,France,Female,37,9,0.0,2,1,1,34689.77
6120,715,France,Male,40,7,0.0,1,1,1,141359.11
4238,655,France,Female,39,6,94631.26,2,1,1,148948.52
9964,479,France,Male,34,5,117593.48,2,0,0,113308.29
1234,771,France,Female,66,7,143773.07,1,1,1,130827.88
686,715,France,Female,31,2,112212.14,2,1,1,181600.72
7195,675,France,Female,33,6,0.0,2,1,0,34045.61
6460,582,France,Male,29,4,0.0,2,0,0,156153.27
2500,711,France,Male,38,10,0.0,2,0,0,53311.78
5965,724,France,Female,30,9,142475.87,1,1,1,107848.24
3113,620,France,Male,32,7,0.0,2,1,1,34665.79
6378,562,France,Male,37,2,0.0,1,0,1,52525.15
3038,744,France,Male,47,9,0.0,2,1,0,113163.17
1091,732,France,Male,36,7,126195.81,1,1,1,133172.48
2618,498,France,Female,30,1,0.0,2,0,0,135795.53
3859,677,France,Male,42,5,99580.13,1,1,0,21007.96
5861,562,France,Male,48,3,92347.96,1,1,1,163116.75
9072,529,France,Male,43,6,93616.35,2,0,0,98348.66
4390,670,France,Female,40,3,47364.45,1,1,1,148579.43
9457,678,France,Male,28,2,109137.12,1,1,1,58814.41
5433,577,France,Male,37,2,127261.35,1,1,0,56185.05
7624,728,France,Female,69,1,0.0,2,1,1,131804.86
7908,581,France,Male,35,4,0.0,2,0,1,86383.82
4593,633,France,Female,44,7,0.0,2,1,0,29761.29
6352,741,France,Male,38,9,0.0,2,1,0,14379.01
5464,556,France,Female,36,2,134208.22,1,0,1,177670.57
6905,687,France,Female,35,1,110752.15,2,1,1,47921.22
74,519,France,Male,36,9,0.0,2,0,1,145562.4
6284,596,France,Male,33,8,0.0,1,1,0,121189.3
874,645,France,Female,38,5,101430.3,2,0,1,4400.32
7454,732,France,Male,46,0,0.0,2,1,1,184350.78
3604,610,France,Male,33,4,111582.11,1,0,0,113943.17
6928,781,France,Female,48,0,57098.96,1,1,0,85644.06
3647,729,France,Male,67,2,94203.8,1,0,1,102391.06
3964,476,France,Male,37,4,0.0,1,1,1,55775.84
2926,510,France,Male,63,8,0.0,2,1,1,115291.86
7515,623,France,Female,35,0,130557.24,1,1,1,47880.71
7352,726,France,Female,38,4,0.0,2,0,0,6787.48
3893,543,France,Female,42,5,0.0,2,0,0,101905.34
7609,681,France,Male,46,0,105969.42,1,1,0,5771.56
2567,553,France,Male,42,1,0.0,2,0,0,23822.04
4113,667,France,Male,33,4,0.0,2,1,1,131834.75
5313,783,France,Female,72,5,121215.9,2,1,1,105206.48
9097,728,France,Male,43,7,0.0,2,1,0,40023.7
174,512,France,Male,40,5,0.0,2,1,1,146457.83
6006,529,France,Female,31,5,0.0,2,1,0,26817.23
149,416,France,Male,32,0,0.0,2,0,1,878.87
1405,359,France,Female,44,6,128747.69,1,1,0,146955.71
8367,499,France,Male,60,7,76961.6,2,1,1,83643.87
3317,779,France,Male,71,3,0.0,2,1,1,146895.36
5092,688,France,Female,39,0,0.0,2,1,0,53222.15
1578,715,France,Male,28,7,160376.61,1,0,0,196853.11
8533,706,France,Male,34,8,0.0,2,1,1,37479.97
5005,733,France,Male,48,5,0.0,1,0,1,117830.57
7996,717,France,Female,22,5,112465.06,1,1,1,92977.75
6100,796,France,Male,30,2,137262.71,2,1,0,62905.29
9384,771,France,Female,57,4,0.0,1,0,0,85876.67
6427,746,France,Male,37,2,0.0,2,1,0,143194.05
6626,847,France,Male,66,7,123760.68,1,0,1,53157.16
6216,479,France,Male,47,1,0.0,1,1,0,95270.83
8633,767,France,Female,35,2,0.0,2,0,0,144251.38
7149,680,France,Male,37,4,0.0,2,1,0,61240.87
2964,721,France,Male,46,1,115764.32,2,0,0,102950.79
4468,437,France,Female,39,0,102721.49,1,0,0,22191.82
7954,743,France,Male,30,7,77599.23,1,0,0,144407.1
1832,620,France,Male,22,0,0.0,1,1,0,32589.45
9936,609,France,Male,77,1,0.0,1,0,1,18708.76
8505,592,France,Male,28,5,137222.77,1,0,0,39608.58
2078,640,France,Male,63,2,68432.45,2,1,1,112503.24
1221,791,France,Male,37,2,163789.49,2,1,0,75832.53
2467,617,France,Female,27,4,0.0,2,0,0,190269.21
6988,764,France,Female,44,1,0.0,2,1,1,11467.38
8026,607,France,Female,33,8,91301.72,1,0,1,130824.57
3911,782,France,Female,35,4,0.0,1,1,1,119565.34
7963,630,France,Male,37,6,0.0,2,1,1,82647.65
226,694,France,Female,30,9,0.0,2,1,1,26960.31
5266,811,France,Male,31,7,117799.28,1,1,1,182372.35
1358,664,France,Male,43,9,189026.53,2,1,1,56099.86
8025,655,France,Male,24,9,107065.31,1,1,1,51959.82
455,506,France,Male,36,5,0.0,2,1,0,164253.35
4824,727,France,Male,35,5,136364.46,1,0,0,142754.71
9729,651,France,Male,23,10,0.0,2,1,1,170099.23
6478,850,France,Male,35,9,102050.47,1,1,1,3769.71
6442,491,France,Male,33,5,83134.3,1,1,0,187946.55
5192,663,France,Female,39,8,0.0,2,1,1,101168.9
8335,647,France,Male,35,4,123761.68,1,1,0,83910.4
5355,597,France,Female,29,1,132144.35,1,1,0,158086.33
7565,708,France,Male,52,10,105355.81,1,1,0,123.07
4673,644,France,Male,33,2,0.0,1,1,0,96420.58
3513,790,France,Female,33,10,135120.72,1,0,0,195204.99
1509,528,France,Male,37,6,103772.45,1,1,0,197111.99
6951,658,France,Male,42,8,102870.93,1,0,1,103764.55
3391,570,France,Female,46,3,0.0,2,0,0,820.46
1202,529,France,Male,22,5,0.0,1,1,0,151169.83
262,557,France,Female,32,6,184686.41,2,1,0,14956.44
9333,755,France,Female,78,5,121206.96,1,1,1,76016.49
8078,576,France,Female,50,8,0.0,2,1,1,57802.62
7727,681,France,Female,63,7,0.0,2,1,1,55054.48
9914,496,France,Female,34,1,102723.35,2,1,0,180844.81
7725,482,France,Female,35,5,147813.05,2,0,0,109029.72
9835,838,France,Male,31,2,0.0,2,1,0,8222.96
3844,681,France,Male,38,6,153722.47,1,1,0,101319.76
3860,720,France,Female,34,6,110717.38,1,1,1,9398.45
1626,617,France,Female,28,0,0.0,2,1,1,7597.83
4549,537,France,Male,59,9,0.0,2,0,0,103799.77
1084,796,France,Male,24,8,0.0,2,1,0,61349.37
3264,738,France,Male,35,5,161274.05,2,1,0,181429.87
1043,579,France,Male,35,1,0.0,2,1,0,4460.2
7805,635,France,Male,34,3,134692.4,2,1,1,83773.02
9575,483,France,Female,30,9,0.0,2,0,0,136356.97
4314,638,France,Male,34,5,133501.36,1,0,1,155643.04
9857,716,France,Male,39,1,70657.61,2,1,1,76476.05
4183,486,France,Male,26,2,0.0,2,1,1,31399.4
6669,517,France,Male,56,9,142147.32,1,0,0,39488.04
3961,702,France,Female,29,10,88378.6,1,1,0,88550.28
8937,731,France,Male,31,1,132512.26,1,1,1,185466.85
335,485,France,Male,29,7,182123.79,1,1,0,116828.51
6956,571,France,Male,49,4,180614.04,1,0,0,523.0
7730,635,France,Male,43,10,122198.21,2,0,1,179144.54
7088,556,France,Female,54,4,150005.38,1,1,0,157015.5
5788,602,France,Female,42,10,0.0,2,0,0,169921.11
5135,518,France,Male,40,4,0.0,2,0,1,194416.58
2729,667,France,Male,23,1,0.0,2,1,0,91573.19
724,694,France,Male,36,3,97530.25,1,1,1,117140.41
1760,521,France,Male,38,5,110641.18,1,0,1,136507.69
1476,756,France,Female,26,5,101641.14,2,0,1,154460.68
6734,619,France,Female,55,0,0.0,3,0,0,60810.64
5883,495,France,Female,38,2,63093.01,1,1,1,47089.72
1003,646,France,Female,42,3,175159.9,2,0,0,67124.48
7544,566,France,Male,34,3,0.0,1,0,0,188135.69
4427,771,France,Female,23,7,156123.73,1,1,0,72990.62
3203,719,France,Male,69,3,0.0,2,1,1,58320.06
1572,716,France,Female,44,3,109528.28,1,1,0,27341.63
642,583,France,Female,27,1,125406.58,1,1,1,110784.42
8022,616,France,Female,31,3,136789.14,1,1,0,59346.4
585,760,France,Female,51,2,100946.71,1,0,0,179614.8
4191,679,France,Male,36,1,97234.58,1,1,0,188997.08
1129,669,France,Female,35,7,0.0,1,1,1,49108.23
8186,606,France,Female,39,3,0.0,2,1,0,50560.45
3122,676,France,Male,29,4,140720.93,1,1,0,36221.18
3924,653,France,Female,40,0,0.0,2,1,0,35795.85
2826,693,France,Female,43,4,152341.55,1,1,0,9241.78
9205,564,France,Male,31,0,110527.17,1,1,1,87060.77
7283,667,France,Male,31,3,99513.91,1,1,1,189657.26
2707,637,France,Female,38,3,104339.56,1,0,0,119882.86
1632,617,France,Male,30,3,132005.77,1,1,0,142940.39
1907,620,France,Female,67,3,0.0,2,1,1,43486.73
5587,730,France,Female,37,1,0.0,2,1,1,124364.63
650,629,France,Female,49,4,0.0,2,1,1,196335.48
5775,619,France,Female,49,9,145359.99,1,1,0,38186.85
8634,741,France,Male,39,5,0.0,1,0,1,40207.06
5282,822,France,Male,32,8,116358.0,1,1,0,108798.36
3399,628,France,Female,31,6,175443.75,1,1,0,113167.17
4898,544,France,Female,40,7,0.0,1,0,1,161076.92
4408,687,France,Male,34,7,129895.19,1,0,1,28698.17
9057,704,France,Female,33,0,130499.09,2,1,1,74804.36
8997,710,France,Female,33,2,0.0,2,1,0,72945.32
1638,699,France,Male,39,9,0.0,1,1,0,80963.92
5045,755,France,Female,29,3,0.0,3,1,0,4733.94
7578,582,France,Female,39,1,132077.48,2,1,0,192255.15
1199,645,France,Male,41,7,0.0,1,0,1,28667.56
9784,527,France,Male,39,4,0.0,2,1,0,167183.07
571,651,France,Male,45,1,0.0,1,1,0,67740.08
2816,683,France,Male,25,4,0.0,2,1,0,152698.24
1599,670,France,Female,42,1,115961.58,2,0,1,29483.87
4271,465,France,Male,33,5,0.0,2,0,1,78698.09
2043,723,France,Male,34,5,0.0,2,0,1,12092.03
6838,850,France,Male,29,6,0.0,2,1,1,10672.54
1387,725,France,Male,66,4,86459.8,1,1,1,141476.56
5508,656,France,Female,75,3,0.0,2,1,1,1276.87
9815,604,France,Male,34,7,0.0,2,1,1,188078.55
1168,607,France,Female,27,2,0.0,2,1,0,63495.86
2596,833,France,Female,28,4,136674.51,2,0,0,5278.78
3171,815,France,Female,56,3,0.0,3,1,1,94248.16
9902,730,France,Female,27,7,0.0,2,1,0,144099.48
6631,613,France,Male,44,3,0.0,2,0,1,136491.72
6651,600,France,Male,46,10,95502.21,1,0,0,19842.18
7736,649,France,Female,41,3,130931.83,1,1,1,144808.37
4741,651,France,Male,45,2,165901.59,2,1,0,23054.51
6731,503,France,Male,32,4,0.0,2,1,1,153036.97
2518,758,France,Female,50,2,95813.76,3,1,1,67944.09
1497,631,France,Male,35,9,112392.45,2,1,0,24472.23
2994,625,France,Female,39,3,130786.92,1,0,1,121316.07
1701,792,France,Male,50,9,0.0,4,1,1,194700.81
5992,758,France,Female,32,2,84378.9,1,1,1,75396.43
5517,465,France,Male,33,8,0.0,2,1,0,177668.55
2035,583,France,Female,44,8,0.0,2,1,1,27431.62
2463,629,France,Male,32,2,0.0,2,0,1,77965.44
5714,554,France,Female,39,10,0.0,2,1,1,18391.93
4205,565,France,Female,38,5,126645.13,1,1,1,168303.55
7040,678,France,Female,48,2,0.0,2,1,1,32301.88
7970,850,France,Male,30,6,86449.39,1,1,1,188809.23
4464,641,France,Male,41,6,0.0,2,1,0,65396.79
5350,477,France,Female,57,9,114023.64,2,1,1,71167.17
447,501,France,Male,40,4,125832.2,1,1,1,100433.83
9814,631,France,Male,36,1,0.0,2,0,0,133141.34
7928,711,France,Male,38,4,123345.85,1,1,0,141827.83
3980,673,France,Male,65,0,0.0,1,1,1,85733.33
3270,850,France,Female,33,7,118004.26,1,1,0,183983.82
9808,603,France,Female,39,9,76769.68,1,0,0,48224.72
1958,645,France,Male,42,6,0.0,1,0,0,149807.01
